question,facts,results,precision,recall
['How many awards have been given to the founder of Grameen Bank?'],"['http://dbpedia.org/property/founder,http://dbpedia.org/ontology/award,']",[],,
['Who is the appointer of Earl B. Ruth ?'],"['http://dbpedia.org/property/appointer,']",[],,
['Which partner of the Tim Mathieson is also the primeminister of the Mike Kelly (Australian politician) ?'],"['http://dbpedia.org/ontology/partner,http://dbpedia.org/property/primeminister,']",[' [        "http://dbpedia.org/ontology/partner"    ]'],['1.0'],['1.0']
['Which river does Katima Mulilo Bridge cross?'],"['http://dbpedia.org/property/crosses,']",[],,
['To which company is the service "Nintendo eShop" associated with?'],"['http://dbpedia.org/property/services,http://dbpedia.org/ontology/Company,']",[],,
['Name the city of Phil-Ellena ?'],"['http://dbpedia.org/ontology/city,']",[' [        "http://dbpedia.org/ontology/city"    ]'],['1.0'],['1.0']
['To which nation did David Animle Hanses owe his allegiance?'],"['http://dbpedia.org/property/allegiance,']",[],,
['Count the tenants of MasterCard Centre?'],"['http://dbpedia.org/property/tenants,']",[' [        "http://dbpedia.org/property/tenants"    ]'],['1.0'],['1.0']
['Name the key people of the non-profit organisations whose one of the key person is Lesley-Anne knight ?'],"['http://dbpedia.org/property/keyPeople,http://dbpedia.org/property/keyPeople,']",[],,
['What show had NTSC format and theme music composed by  Ron Grainer?'],"['http://dbpedia.org/ontology/format,http://dbpedia.org/property/themeMusicComposer,http://dbpedia.org/ontology/TelevisionShow,']",[' [        "http://dbpedia.org/property/format"    ]'],['0.5'],['1.0']
['Who was once married to both Kelly Brook and Rosie Huntington-Whiteley?'],"['http://dbpedia.org/ontology/partner,http://dbpedia.org/ontology/partner,']","[' [        ""http://dbpedia.org/ontology/spouse"",         ""http://dbpedia.org/ontology/child""    ]']",['0.0'],['0.0']
['Which board memeber of jimmy Wales also owns Latvian Wikipedia ?'],"['http://dbpedia.org/ontology/board,http://dbpedia.org/ontology/owner,']","[' [        ""http://dbpedia.org/ontology/board"",         ""http://dbpedia.org/ontology/owns""    ]']",['0.5'],['0.5']
['Name the ones who debuted in the San Francisco 49ers.'],"['http://dbpedia.org/ontology/debutTeam,']",[' [        "http://dbpedia.org/ontology/debutTeam"    ]'],['1.0'],['1.0']
['What is the county of the road whose route end is Pahang ?'],"['http://dbpedia.org/ontology/routeEnd,http://dbpedia.org/ontology/county,http://dbpedia.org/ontology/Road,']",[' [        "http://dbpedia.org/ontology/routeEnd"    ]'],['1.0'],['1.0']
["What is the river one of whose left tributary's native name is Arabic?"],"['http://dbpedia.org/property/nativeName,http://dbpedia.org/ontology/leftTributary,']",[],,
['Name the office holder whose spouse is Dolley Madison and belongs to Militia branch ?'],"['http://dbpedia.org/property/spouse,http://dbpedia.org/property/branch,http://dbpedia.org/ontology/OfficeHolder,']",[],,
['List sports managers who managed Middlesbrough F.C. and England national under-21 football team?'],"['http://dbpedia.org/ontology/managerClub,http://dbpedia.org/property/managerclubs,http://dbpedia.org/ontology/SportsManager,']","[' [        ""http://dbpedia.org/ontology/manager"",         ""http://dbpedia.org/ontology/managerTitle""    ]']",['0.333333333333'],['0.5']
['What is the origin of the grape whose wine region is the Troodos Mountains ?'],"['http://dbpedia.org/ontology/wineRegion,http://dbpedia.org/ontology/origin,http://dbpedia.org/ontology/Grape,']",[' [        "http://dbpedia.org/ontology/wineRegion"    ]'],['1.0'],['1.0']
['Where is the headquarter of Regional Transit Authority of Southeast Michigan ?'],"['http://dbpedia.org/property/headquarters,']",[],,
['Who is the appointer of Charles Goodell ?'],"['http://dbpedia.org/ontology/appointer,']",[' [        "http://dbpedia.org/ontology/appointer"    ]'],['1.0'],['1.0']
['Name the common serving line of Daund Junction railway station and Ujjain Junction railway station?'],"['http://dbpedia.org/ontology/servingRailwayLine,http://dbpedia.org/ontology/servingRailwayLine,']",[' [        "http://dbpedia.org/property/nativeName"    ]'],['0.0'],['0.0']
['Who owns the airport in Paphos?'],"['http://dbpedia.org/ontology/city,http://dbpedia.org/property/owner,http://dbpedia.org/ontology/Airport,']",[' [        "http://dbpedia.org/ontology/birthPlace"    ]'],['0.0'],['0.0']
['What is the common branch of military of Edward Joseph Schwartz  and John Tower ?'],"['http://dbpedia.org/property/branch,http://dbpedia.org/ontology/militaryBranch,']",[' [        "http://dbpedia.org/ontology/militaryBranch"    ]'],['1.0'],['1.0']
"['Which border country of the Korean Peninsula is also the country of Krusty, a musical group ?']","['http://dbpedia.org/ontology/border,http://dbpedia.org/ontology/country,']","[' [        ""http://dbpedia.org/ontology/country"",         ""http://dbpedia.org/property/border""    ]']",['0.666666666667'],['1.0']
['List the destinations of Novair International Airways ?'],"['http://dbpedia.org/property/destinations,']",[],,
['List the guests of On Broadway ?'],"['http://dbpedia.org/property/guests,']",[],,
['What is the home town of the musical artist who is the current members of Slapstick?'],"['http://dbpedia.org/property/currentMembers,http://dbpedia.org/ontology/hometown,http://dbpedia.org/ontology/MusicalArtist,']",[' [        "http://dbpedia.org/ontology/artist"    ]'],['0.5'],['1.0']
['Is Christchurch the largest city of South Island?'],"['http://dbpedia.org/ontology/largestCity,']",[' [        "http://dbpedia.org/ontology/largestCity"    ]'],['1.0'],['1.0']
['What are the products of the company who published Robot Wars: Metal Mayhem ?'],"['http://dbpedia.org/ontology/publisher,http://dbpedia.org/ontology/product,http://dbpedia.org/ontology/Company,']",[' [        "http://dbpedia.org/ontology/releaseDate"    ]'],['0.5'],['1.0']
['Name books with publisher as Francisco de Robles and writer as Miguel de Cervantes ?'],"['http://dbpedia.org/ontology/publisher,http://dbpedia.org/property/author,http://dbpedia.org/ontology/Book,']",[' [        "http://dbpedia.org/ontology/writer"    ]'],['0.5'],['1.0']
['What is the political party to which Purnima Banerjee is a member of??'],"['http://dbpedia.org/ontology/party,']",[' [        "http://dbpedia.org/ontology/party"    ]'],['1.0'],['1.0']
['In how many places are the tombs of everyone who died in England?'],"['http://dbpedia.org/property/placeOfDeath,http://dbpedia.org/property/placeOfBurial,http://dbpedia.org/ontology/Place,']",[],,
"[""In all the states which have a Uniontown, where does a Keller's mill covered bridge exist too?""]","['http://dbpedia.org/ontology/state,http://dbpedia.org/ontology/state,']","[' [        ""http://dbpedia.org/ontology/state"",         ""http://dbpedia.org/property/country""    ]']",['1.0'],['1.0']
"['The sports team which played at the American Basketball League championship (1996-1998), have which stadiums?']","['http://dbpedia.org/ontology/league,http://dbpedia.org/ontology/stadium,http://dbpedia.org/ontology/SportsTeam,']",[],,
['What is the order of the Omar D. Conger where Robert Sarvis was also the nominee ?'],"['http://dbpedia.org/property/order,http://dbpedia.org/ontology/nominee,']",[],,
['Who wrote the musical whose composer is Emil Dean Zoghby?'],"['http://dbpedia.org/ontology/musicBy,http://dbpedia.org/ontology/author,http://dbpedia.org/ontology/Musical,']",[' [        "http://dbpedia.org/ontology/musicBy"    ]'],['1.0'],['1.0']
['what has been developed by John Fanning?'],"['http://dbpedia.org/ontology/developer,']",[' [        "http://dbpedia.org/ontology/developer"    ]'],['1.0'],['1.0']
['Who was the chairman of Fort Lauderdale Strikers and also 2015 Fort Lauderdale Strikers season ?'],"['http://dbpedia.org/ontology/chairman,http://dbpedia.org/ontology/chairman,']","[' [        ""http://dbpedia.org/ontology/chairman"",         ""http://dbpedia.org/ontology/chairmanTitle""    ]']",['1.0'],['1.0']
['What are the houses of the legislature where the leader is called Pullaiahgaripalli ?'],"['http://dbpedia.org/property/leaderTitle,http://dbpedia.org/property/houses,http://dbpedia.org/ontology/Legislature,']",[],,
['List some writers which speak one of the Germanic languages.'],"['http://dbpedia.org/ontology/languageFamily,http://dbpedia.org/property/language,http://dbpedia.org/ontology/Writer,']","[' [        ""http://dbpedia.org/property/language"",         ""http://dbpedia.org/ontology/language""    ]']",['0.5'],['0.5']
["Give me some series whose network's owning company is Warner Bros. Television?"],"['http://dbpedia.org/ontology/owningCompany,http://dbpedia.org/ontology/network,http://dbpedia.org/ontology/TelevisionShow,']",[' [        "http://dbpedia.org/ontology/company"    ]'],['0.0'],['0.0']
['What is the province of Egypt Nanotechnology Center ?'],"['http://dbpedia.org/property/province,']",[],,
['What is manufactured by a company founded by Akio Morita?'],"['http://dbpedia.org/property/founder,http://dbpedia.org/ontology/manufacturer,']",[],,
['Where did Rheinmetall MG 60 originated ?'],"['http://dbpedia.org/ontology/origin,']",[' [        "http://dbpedia.org/ontology/origin"    ]'],['1.0'],['1.0']
['Is The Orator in the National Archaeological Museum of Florence?'],"['http://dbpedia.org/property/museum,']",[],,
['List all the notable work of the screen writer who produced Frasier ?'],"['http://dbpedia.org/ontology/notableWork,http://dbpedia.org/ontology/notableWork,http://dbpedia.org/ontology/ScreenWriter,']",[],,
['Name the river mouth of Moordener Kill ?'],"['http://dbpedia.org/ontology/riverMouth,']",[' [        "http://dbpedia.org/ontology/riverMouth"    ]'],['1.0'],['1.0']
['In which series has Sean Young portrayed someone?'],"['http://dbpedia.org/ontology/portrayer,http://dbpedia.org/ontology/series,']",[' [        "http://dbpedia.org/property/portrayer"    ]'],['0.5'],['1.0']
['What type of engines are utilised by Purvis Eureka?'],"['http://dbpedia.org/property/engine,']",[],,
['Is Egyptian Arabic belong to the Central Semitic Languages family?'],"['http://dbpedia.org/ontology/languageFamily,']",[' [        "http://dbpedia.org/ontology/languageFamily"    ]'],['1.0'],['1.0']
"['Name the fictional character whose relatives are Huey, Dewey, and Louie and belongs to Duck family ?']","['http://dbpedia.org/property/relatives,http://dbpedia.org/ontology/relative,http://dbpedia.org/ontology/FictionalCharacter,']",[' [        "http://dbpedia.org/ontology/relative"    ]'],['1.0'],['1.0']
['What is the total number of other characters of the plays whose characters is Robin (comics)?'],"['http://dbpedia.org/property/characters,http://dbpedia.org/property/characters,']",[],,
['Where did isabelle caro and judson huss both die?'],"['http://dbpedia.org/property/deathPlace,http://dbpedia.org/property/deathPlace,']",[],,
,,[],,
,,[],,
['Count the number of artists who trained at the San Francisco Art Institute?'],"['http://dbpedia.org/property/training,http://dbpedia.org/ontology/Artist,']",[' [        "http://dbpedia.org/ontology/artist"    ]'],['0.0'],['0.0']
['What are the movies whose director is Orson Welles?'],"['http://dbpedia.org/property/director,http://dbpedia.org/ontology/Film,']",[],,
['Which scientist is known for anthrax and has Karl Ewald Hasse as his academic advisor ?'],"['http://dbpedia.org/ontology/knownFor,http://dbpedia.org/ontology/academicAdvisor,http://dbpedia.org/ontology/Scientist,']","[' [        ""http://dbpedia.org/ontology/academicAdvisor"",         ""http://dbpedia.org/ontology/birthPlace""    ]']",['0.5'],['0.5']
['How many mountain are there in Sierra Nevada range?'],"['http://dbpedia.org/ontology/mountainRange,http://dbpedia.org/ontology/Mountain,']",[' [        "http://dbpedia.org/ontology/mountainRange"    ]'],['1.0'],['1.0']
['To how many different species does the members of the Animal Kingdom belong?'],"['http://dbpedia.org/ontology/kingdom,http://dbpedia.org/ontology/species,http://dbpedia.org/ontology/Species,']",[' [        "http://dbpedia.org/ontology/kingdom"    ]'],['1.0'],['1.0']
['What are some mammals whose phylum is Chordate?'],"['http://dbpedia.org/property/phylum,http://dbpedia.org/ontology/Mammal,']",[],,
['What is manufactured by Asus and Sony togather?'],"['http://dbpedia.org/ontology/manufacturer,http://dbpedia.org/ontology/manufacturer,']","[' [        ""http://dbpedia.org/property/manufacturer"",         ""http://dbpedia.org/ontology/manufacturer""    ]']",['1.0'],['1.0']
['Who is the Artist of the singles whose film genre is Country music ?'],"['http://dbpedia.org/property/genre,http://dbpedia.org/property/artist,http://dbpedia.org/ontology/Single,']",[],,
['Who did Daniel Gibson marry?'],"['http://dbpedia.org/ontology/spouse,']",[' [        "http://dbpedia.org/ontology/spouse"    ]'],['1.0'],['1.0']
"['Who studied at  Harvard-Westlake School and has Henry E. Catto, Jr. as   predecessor ?']","['http://dbpedia.org/ontology/almaMater,http://dbpedia.org/ontology/predecessor,']",[' [        "http://dbpedia.org/ontology/almaMater"    ]'],['1.0'],['1.0']
['Is Tamera Mowry the former band member of Voices?'],"['http://dbpedia.org/ontology/formerBandMember,']",[' [        "http://dbpedia.org/ontology/formerBandMember"    ]'],['1.0'],['1.0']
['How many movies are distributed by Cinema International Corporation?'],"['http://dbpedia.org/ontology/distributor,http://dbpedia.org/ontology/Film,']",[' [        "http://dbpedia.org/ontology/distributor"    ]'],['1.0'],['1.0']
['List the birth city of the politicians of Democratic Party.'],"['http://dbpedia.org/ontology/party,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/ontology/Politician,']",[' [        "http://dbpedia.org/ontology/party"    ]'],['1.0'],['1.0']
['Which American football player is a former team player of Indianapolis Colts and current team is Michigan Wolverines?'],"['http://dbpedia.org/ontology/formerTeam,http://dbpedia.org/property/currentteam,http://dbpedia.org/ontology/AmericanFootballPlayer,']",[' [        "http://dbpedia.org/ontology/team"    ]'],['0.0'],['0.0']
["Which river's source country is Zambia and mouth country is Mozambique?"],"['http://dbpedia.org/ontology/sourceCountry,http://dbpedia.org/property/mouthCountry,http://dbpedia.org/ontology/River,']",[' [        "http://dbpedia.org/ontology/country"    ]'],['0.0'],['0.0']
['Which person works at the American Magazine?'],"['http://dbpedia.org/ontology/employer,http://dbpedia.org/ontology/Person,']",[' [        "http://dbpedia.org/ontology/employer"    ]'],['1.0'],['1.0']
['Name the regions served by Toll Global Express ?'],"['http://dbpedia.org/ontology/regionServed,']",[' [        "http://dbpedia.org/ontology/employer"    ]'],['0.0'],['0.0']
['How many mountain ranges are located in the Canton of Fribourg?'],"['http://dbpedia.org/ontology/locatedInArea,http://dbpedia.org/ontology/mountainRange,']",[' [        "http://dbpedia.org/ontology/birthPlace"    ]'],['0.0'],['0.0']
['Is PIAS Recordings the distributing label of Wichita Recordings?'],"['http://dbpedia.org/ontology/distributingLabel,']",[' [        "http://dbpedia.org/ontology/distributingLabel"    ]'],['1.0'],['1.0']
['Count all american football players whose former team owns Lucas Oil Stadium ?'],"['http://dbpedia.org/property/city,http://dbpedia.org/ontology/formerTeam,http://dbpedia.org/ontology/AmericanFootballPlayer,']",[],,
['How many cities are around the sea which flows into the Atlantic?'],"['http://dbpedia.org/ontology/inflow,http://dbpedia.org/property/cities,http://dbpedia.org/ontology/City,']",[' [        "http://dbpedia.org/ontology/birthPlace"    ]'],['0.0'],['0.0']
['What is the occupation of the Irving Chernev and Karen Grigorian?'],"['http://dbpedia.org/ontology/occupation,http://dbpedia.org/ontology/occupation,']",[' [        "http://dbpedia.org/ontology/occupation"    ]'],['1.0'],['1.0']
['How many cities are close to Lake Victoria?'],"['http://dbpedia.org/ontology/nearestCity,']",[' []'],['0.0'],['0.0']
['Name the ssignificant buildings of Ivan Fomin ?'],"['http://dbpedia.org/ontology/significantBuilding,']",[' [        "http://dbpedia.org/ontology/significantBuilding"    ]'],['1.0'],['1.0']
['Did Tupac write the lyrics of Holler If Ya Hear Me?'],"['http://dbpedia.org/property/lyrics,']",[],,
['Which largest city of Salsette Island is also the largest city of India ?'],"['http://dbpedia.org/ontology/largestCity,http://dbpedia.org/ontology/largestCity,']","[' [        ""http://dbpedia.org/ontology/largestCity"",         ""http://dbpedia.org/ontology/country""    ]']",['1.0'],['1.0']
['What is the name of the homeground of football team Panionios G.S.S.?'],"['http://dbpedia.org/ontology/ground,']",[],,
"['How many teams was Garry Unger in, previously?']","['http://dbpedia.org/ontology/formerTeam,http://dbpedia.org/ontology/SportsTeam,']",[' [        "http://dbpedia.org/property/ntlTeam"    ]'],['0.5'],['1.0']
['Is Mona Lisa in the Louvre museum?'],"['http://dbpedia.org/property/museum,']",[],,
['List the judge of the TV show whose one of the judge is Ludacris ?'],"['http://dbpedia.org/property/judges,http://dbpedia.org/property/judges,http://dbpedia.org/ontology/TelevisionShow,']",[],,
["List the primary  subjects of A Christian Turn'd Turk?"],"['http://dbpedia.org/property/subject,']",[],,
['Which awards did the writer of Persona win ?'],"['http://dbpedia.org/ontology/writer,http://dbpedia.org/property/awards,']",[' [        "http://dbpedia.org/ontology/writer"    ]'],['1.0'],['1.0']
['Give me a count of movies whose editor is Mark Stevens?'],"['http://dbpedia.org/property/editing,http://dbpedia.org/ontology/Film,']",[],,
['List the area of radio stations whose sister station is WBCQ-FM?'],"['http://dbpedia.org/property/sisterStations,http://dbpedia.org/property/area,']",[],,
['Is Latin the official language of Sovereign Military Order of Malta?'],"['http://dbpedia.org/ontology/officialLanguage,']",[' [        "http://dbpedia.org/property/language"    ]'],['0.0'],['0.0']
['List the  outflow of Lake Uniamsi?'],"['http://dbpedia.org/ontology/outflow,']",[],,
['List the major shrines of Jovan Vladimir?'],"['http://dbpedia.org/property/majorShrine,']",[],,
['Which shows are from a company whose subsidiary is Viacom Productions?'],"['http://dbpedia.org/ontology/subsidiary,http://dbpedia.org/property/company,http://dbpedia.org/ontology/TelevisionShow,']",[' [        "http://dbpedia.org/ontology/subsidiary"    ]'],['1.0'],['1.0']
['What are on the borders of Shimsa Plateau?'],"['http://dbpedia.org/ontology/border,']",[],,
['Who edited  British Gazette ?'],"['http://dbpedia.org/property/editor,']",[],,
['Which spanish novel was published by Francisco de Robles?'],"['http://dbpedia.org/property/publisher,']",[],,
['Count the total number  of hometown of the gymnasts whose one of the hometown in Russia ?'],"['http://dbpedia.org/property/hometown,http://dbpedia.org/property/hometown,']",[],,
['What is the resting place of the children of Bruce Lee ?'],"['http://dbpedia.org/property/children,http://dbpedia.org/ontology/restingPlace,']",[' [        "http://dbpedia.org/ontology/child"    ]'],['0.5'],['1.0']
["What are the television shows whose company's predecessor is Desilu Productions?"],"['http://dbpedia.org/property/predecessor,http://dbpedia.org/property/company,http://dbpedia.org/ontology/TelevisionShow,']",[],,
['List the prospect team of Robin Kovacs ?'],"['http://dbpedia.org/property/prospectTeam,']",[],,
['Is Labor relations the main interest of Karl Marx?'],"['http://dbpedia.org/ontology/mainInterest,']",[' [        "http://dbpedia.org/ontology/mainInterest"    ]'],['1.0'],['1.0']
['Name a office holder whose predecessor is Edward Douglass White and has son named Charles Phelps Taft II?'],"['http://dbpedia.org/ontology/predecessor,http://dbpedia.org/ontology/child,http://dbpedia.org/ontology/OfficeHolder,']","[' [        ""http://dbpedia.org/ontology/predecessor"",         ""http://dbpedia.org/property/predecessor""    ]']",['0.5'],['0.5']
['What is the club of Perianne Jones ?'],"['http://dbpedia.org/property/club,']",[],,
['List the books by the authors buried in the Convent of the Barefoot Trinitarians?'],"['http://dbpedia.org/ontology/restingPlace,http://dbpedia.org/ontology/author,http://dbpedia.org/ontology/Book,']",[' [        "http://dbpedia.org/ontology/restingPlace"    ]'],['1.0'],['1.0']
['Is Stephanie Rice the flagbearer of Australia at the 2008 Summer Olympics?'],"['http://dbpedia.org/property/flagbearer,']",[],,
['Spanish harlem incident and girl from the north country were originally composed by whom?'],"['http://dbpedia.org/ontology/composer,http://dbpedia.org/ontology/composer,']","[' [        ""http://dbpedia.org/ontology/producer"",         ""http://dbpedia.org/ontology/writer""    ]']",['0.0'],['0.0']
['Who is the founder of Oprah Winfrey Network (U.S. TV channel) ?'],"['http://dbpedia.org/property/founder,']",[],,
['Which place of Geography Club is the location of Seattle Great Wheel ?'],"['http://dbpedia.org/property/locationTown,http://dbpedia.org/property/place,']",[],,
"['What is the career of George Arceneaux, Jr. ?']","['http://dbpedia.org/ontology/occupation,']",[' [        "http://dbpedia.org/ontology/birthPlace"    ]'],['0.0'],['0.0']
['Name the prospect team of Mikhail Pashnin ?'],"['http://dbpedia.org/property/prospectTeam,']",[],,
['Who are the maintainers of the bridges which cross the pandaruan river?'],"['http://dbpedia.org/ontology/crosses,http://dbpedia.org/ontology/maintainedBy,http://dbpedia.org/ontology/Bridge,']",[' [        "http://dbpedia.org/ontology/crosses"    ]'],['1.0'],['1.0']
['Who all held a position when Gough Whitlam was the prime minister?'],"['http://dbpedia.org/ontology/primeMinister,']",[' [        "http://dbpedia.org/ontology/primeMinister"    ]'],['1.0'],['1.0']
['Which veterans served at CBS?'],"['http://dbpedia.org/ontology/occupation,']",[' [        "http://dbpedia.org/ontology/country"    ]'],['0.5'],['1.0']
,,[],,
,,[],,
['How many other battles have the military person fought whose one of the battles is World War II ?'],"['http://dbpedia.org/property/battles,http://dbpedia.org/property/battles,']",[],,
['Who is the  distributor of Rev (drink) ?'],"['http://dbpedia.org/ontology/distributor,']",[],,
['Who is the scientist whose doctoral student is Erich Bagge?'],"['http://dbpedia.org/ontology/doctoralStudent,http://dbpedia.org/ontology/Scientist,']",[' [        "http://dbpedia.org/ontology/doctoralStudent"    ]'],['1.0'],['1.0']
['How many bands are signed up with labels which were founded in Japan?'],"['http://dbpedia.org/property/foundation,http://dbpedia.org/property/label,http://dbpedia.org/ontology/Band,']",[],,
['Name the nationalteam of Trn Vit Hng ?'],"['http://dbpedia.org/property/nationalteam,']",[],,
['What is the allegiance of Albert Kwesi Ocran ?'],"['http://dbpedia.org/property/allegiance,']",[],,
['What is the owning company of the bank whose parent is Sony Financial ?'],"['http://dbpedia.org/property/parent,http://dbpedia.org/ontology/owningCompany,http://dbpedia.org/ontology/Company,']",[],,
['Who appointed William L. Dayton ?'],"['http://dbpedia.org/ontology/appointer,']",[' [        "http://dbpedia.org/ontology/successor"    ]'],['0.0'],['0.0']
['What is the fictional character whose voice over is done by the animator of Dick Lundy ?'],"['http://dbpedia.org/property/animator,http://dbpedia.org/ontology/voice,http://dbpedia.org/ontology/FictionalCharacter,']",[],,
['Name the Artist of Madagascar: Operation Penguin ?'],"['http://dbpedia.org/property/artist,']",[],,
['Count the tenants of the stadiums owned by toronto.'],"['http://dbpedia.org/property/owner,http://dbpedia.org/property/tenants,']",[' [        "http://dbpedia.org/property/owner"    ]'],['1.0'],['1.0']
['list all the chairman of Vancouver Whitecaps FC?'],"['http://dbpedia.org/property/chairman,']",[],,
['Who is the label of The Producers (2005 film) ?'],"['http://dbpedia.org/property/label,']",[],,
['What is the state whose largest city is Denver?'],"['http://dbpedia.org/ontology/largestCity,']",[' [        "http://dbpedia.org/property/city"    ]'],['0.0'],['0.0']
["Give me some TV stations whose network's main language is American English?"],"['http://dbpedia.org/ontology/language,http://dbpedia.org/property/network,http://dbpedia.org/ontology/TelevisionStation,']",[' [        "http://dbpedia.org/ontology/language"    ]'],['1.0'],['1.0']
['Who is the licensee of EXXV-TV ?'],"['http://dbpedia.org/property/licensee,']",[],,
['Through which states do the rivers flow which join in the republican river from the left?'],"['http://dbpedia.org/ontology/leftTributary,http://dbpedia.org/ontology/state,']","[' [        ""http://dbpedia.org/ontology/state"",         ""http://dbpedia.org/ontology/country""    ]']",['0.5'],['0.5']
['In which language is All I need is Your Sweet lovin written ?'],"['http://dbpedia.org/property/language,']",[],,
['Who founded a company which served Mid Wales ?'],"['http://dbpedia.org/ontology/regionServed,http://dbpedia.org/ontology/foundedBy,']",[' [        "http://dbpedia.org/ontology/birthPlace"    ]'],['0.0'],['0.0']
['How many television shows have  Fox Broadcasting Company as their channel?'],"['http://dbpedia.org/property/channel,http://dbpedia.org/ontology/TelevisionShow,']",[' [        "http://dbpedia.org/property/channel"    ]'],['1.0'],['1.0']
['List the junctions which lie on U.S. Route 59 in Texas and U.S. Route 59 ?'],"['http://dbpedia.org/property/junction,http://dbpedia.org/property/junction,']",[],,
['Who are some basketball players who played for Phoenix Suns?'],"['http://dbpedia.org/ontology/team,http://dbpedia.org/ontology/BasketballPlayer,']",[' [        "http://dbpedia.org/ontology/team"    ]'],['1.0'],['1.0']
"['Who is the child of John Tyler, Sr.?']","['http://dbpedia.org/ontology/child,']",[],,
['What is the country with native language as Languages of Ethiopia?'],"['http://dbpedia.org/ontology/language,http://dbpedia.org/ontology/Country,']",[' [        "http://dbpedia.org/property/country"    ]'],['0.5'],['1.0']
"['The successor of Ulrich II, Count of East Frisia was born in what place?']","['http://dbpedia.org/property/successor,http://dbpedia.org/property/placeOfBirth,']",[],,
['What company is the distributor of Bombay Sapphire?'],"['http://dbpedia.org/property/distributor,']",[],,
['Name the part of Liverpool city region >'],"['http://dbpedia.org/ontology/part,']",[' [        "http://dbpedia.org/ontology/part"    ]'],['1.0'],['1.0']
['Which artists trained in San Francisco Art Institute?'],"['http://dbpedia.org/property/training,http://dbpedia.org/ontology/Artist,']",[' [        "http://dbpedia.org/ontology/artist"    ]'],['0.0'],['0.0']
['What is the launch site of the Juno I which was also the ground of 2016 Fort Lauderdale Strikers season ?'],"['http://dbpedia.org/ontology/launchSite,http://dbpedia.org/ontology/ground,']","[' [        ""http://dbpedia.org/ontology/ground"",         ""http://dbpedia.org/ontology/launchSite""    ]']",['1.0'],['1.0']
['What is the place of birth of the Michael Marder which is also the  place of death of the Tigran Petrosian'],"['http://dbpedia.org/property/placeOfBirth,http://dbpedia.org/ontology/deathPlace,']",[' [        "http://dbpedia.org/ontology/birthPlace"    ]'],['0.5'],['1.0']
['What are the mascots of the teams participating in the Turkish Handball Super League?'],"['http://dbpedia.org/property/league,http://dbpedia.org/property/mascot,http://dbpedia.org/ontology/SportsTeam,']",[' [        "http://dbpedia.org/ontology/league"    ]'],['0.5'],['1.0']
"['Give me a count of schools in Reading, Berkshire?']","['http://dbpedia.org/ontology/city,http://dbpedia.org/ontology/School,']",[' [        "http://dbpedia.org/ontology/birthPlace"    ]'],['0.0'],['0.0']
['What team did Dan Daoust and Don Ashby play for?'],"['http://dbpedia.org/ontology/formerTeam,http://dbpedia.org/property/playedFor,']",[' [        "http://dbpedia.org/ontology/formerTeam"    ]'],['1.0'],['1.0']
['Was the USS Tillamook built in Seattle?'],"['http://dbpedia.org/property/shipBuilder,']",[],,
['Which automobile platform provider of Chiva bus is also the parent company of the Ford Falcon Cobra ?'],"['http://dbpedia.org/ontology/automobilePlatform,http://dbpedia.org/ontology/parentCompany,']","[' [        ""http://dbpedia.org/ontology/parentCompany"",         ""http://dbpedia.org/ontology/automobilePlatform""    ]']",['1.0'],['1.0']
['List all the children of Barbara Bush?'],"['http://dbpedia.org/property/children,']",[],,
['who is the husband of Rosie Huntington Whiteley?'],"['http://dbpedia.org/ontology/partner,']",[' [        "http://dbpedia.org/ontology/spouse"    ]'],['0.0'],['0.0']
['What is the official name of Arkansas wine ?'],"['http://dbpedia.org/property/officialName,']",[],,
["What are the houses of legislature in the political leader's seat of Medininagar?"],"['http://dbpedia.org/property/leaderTitle,http://dbpedia.org/property/houses,http://dbpedia.org/ontology/Legislature,']",[],,
['What is the alma mater of Julian Leow Beng Kim?'],"['http://dbpedia.org/property/almaMater,']",[],,
['What discipline was The Chess Monthly about ?'],"['http://dbpedia.org/property/discipline,']",[],,
['Which prospect team of Robin Kovacs is the draft team of Bob MacMillan ?'],"['http://dbpedia.org/property/draftTeam,http://dbpedia.org/property/prospectTeam,']",[],,
['How many universities are in the National Collegiate Athletic Association?'],"['http://dbpedia.org/ontology/athletics,']",[' [        "http://dbpedia.org/property/adminTeam"    ]'],['0.0'],['0.0']
['List the total number of board members who share board with Creative commons ?'],"['http://dbpedia.org/ontology/board,http://dbpedia.org/ontology/board,']","[' [        ""http://dbpedia.org/ontology/board"",         ""http://dbpedia.org/ontology/editor""    ]']",['1.0'],['1.0']
['Is Fluidinfo written in PostgreSQL language?'],"['http://dbpedia.org/property/programmingLanguage,']",[],,
['What are the software which uses  platforms as ARM architecture?'],"['http://dbpedia.org/ontology/computingPlatform,http://dbpedia.org/ontology/Software,']",[' [        "http://dbpedia.org/ontology/wikiPageExternalLink"    ]'],['0.5'],['1.0']
['Which developer of  the Spider-Man: Edge of Time is the  successor of PlayStation 2 ?'],"['http://dbpedia.org/ontology/developer,http://dbpedia.org/ontology/successor,']","[' [        ""http://dbpedia.org/ontology/successor"",         ""http://dbpedia.org/property/developer""    ]']",['0.666666666667'],['1.0']
['Is Henry Knox a commander of Continental Artillery Regiment?'],"['http://dbpedia.org/ontology/notableCommander,']",[' [        "http://dbpedia.org/ontology/commander"    ]'],['0.0'],['0.0']
